Category	Subcategory	Subsystem	Role	Features
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Transcriptional regulatory protein RstA	fig|6666666.353979.peg.1789
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Transcriptional regulatory protein basR/pmrA	fig|6666666.353979.peg.4028
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Copper-sensing two-component system response regulator CusR	fig|6666666.353979.peg.1527, fig|6666666.353979.peg.4496
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional antiactivator GcvR	fig|6666666.353979.peg.3622
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator	fig|6666666.353979.peg.498, fig|6666666.353979.peg.1462
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Sensor protein basS/pmrB (EC 2.7.3.-)	fig|6666666.353979.peg.4029
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Alkanesulfonate utilization operon LysR-family regulator CbI	fig|6666666.353979.peg.943
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Threonine catabolic operon transcriptional activator TdcA	fig|6666666.353979.peg.2751
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YneJ	fig|6666666.353979.peg.1559
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR-family transcriptional regulator YhaJ	fig|6666666.353979.peg.2741
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Cys regulon transcriptional activator CysB	fig|6666666.353979.peg.1305
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YnfL	fig|6666666.353979.peg.1732, fig|6666666.353979.peg.1749
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Xanthosine operon regulatory protein XapR, LysR family	fig|6666666.353979.peg.3569
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YbhD	fig|6666666.353979.peg.953, fig|6666666.353979.peg.1438
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Hydrogen peroxide-inducible genes activator	fig|6666666.353979.peg.1155, fig|6666666.353979.peg.4376
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Nitrogen assimilation regulatory protein Nac	fig|6666666.353979.peg.942
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	D-serine dehydratase transcriptional activator	fig|6666666.353979.peg.69
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Probable transcriptional activator for leuABCD operon	fig|6666666.353979.peg.795
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator Z0885	fig|6666666.353979.peg.2311
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YfeR	fig|6666666.353979.peg.3574
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Transcriptional activator protein LysR	fig|6666666.353979.peg.2494
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Positive regulator of Tartrate dehydrogenase/decarboxylase/D-malic enzyme	fig|6666666.353979.peg.172
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YdcI	fig|6666666.353979.peg.1607
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YhjC	fig|6666666.353979.peg.4278
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YeiE	fig|6666666.353979.peg.3412, fig|6666666.353979.peg.4729
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator lrhA	fig|6666666.353979.peg.3491
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)	fig|6666666.353979.peg.1774
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Glycine cleavage system transcriptional activator GcvA	fig|6666666.353979.peg.1735, fig|6666666.353979.peg.3971
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	HTH-type transcriptional regulator IlvY	fig|6666666.353979.peg.4361
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YafC	fig|6666666.353979.peg.3278
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Chromosome initiation inhibitor	fig|6666666.353979.peg.568, fig|6666666.353979.peg.1599, fig|6666666.353979.peg.1763, fig|6666666.353979.peg.1766, fig|6666666.353979.peg.2544
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator QseA	fig|6666666.353979.peg.4087
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	DNA-binding regulatory proteins, strays	Aromatic hydrocarbon utilization transcriptional regulator CatR (LysR family)	fig|6666666.353979.peg.82
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	DNA-binding regulatory proteins, strays	LysR family transcriptional regulator near succinyl-CoA:3-ketoacid-coenzyme A transferase	fig|6666666.353979.peg.1972
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Stringent Response, (p)ppGpp metabolism	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40)	fig|6666666.353979.peg.4356
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Stringent Response, (p)ppGpp metabolism	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	fig|6666666.353979.peg.115
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Stringent Response, (p)ppGpp metabolism	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	fig|6666666.353979.peg.115
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Stringent Response, (p)ppGpp metabolism	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	fig|6666666.353979.peg.3953
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Queuosine biosynthesis QueD, PTPS-I	fig|6666666.353979.peg.626, fig|6666666.353979.peg.3944
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Carbonic anhydrase (EC 4.2.1.1)	fig|6666666.353979.peg.850, fig|6666666.353979.peg.1915
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family	fig|6666666.353979.peg.662, fig|6666666.353979.peg.3423
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	fig|6666666.353979.peg.512, fig|6666666.353979.peg.2448, fig|6666666.353979.peg.2473, fig|6666666.353979.peg.3595
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	C4-type zinc finger protein, DksA/TraR family	fig|6666666.353979.peg.868
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Porphobilinogen synthase (EC 4.2.1.24)	fig|6666666.353979.peg.3221
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Zinc uptake regulation protein ZUR	fig|6666666.353979.peg.326
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	fig|6666666.353979.peg.3075
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 1	fig|6666666.353979.peg.3405
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	fig|6666666.353979.peg.3298
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Dihydroorotase (EC 3.5.2.3)	fig|6666666.353979.peg.2144
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	Autoinducer 2 (AI-2) kinase LsrK (EC 2.7.1.-)	fig|6666666.353979.peg.2721
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	Autoinducer 2 (AI-2) ABC transport system, membrane channel protein LsrC	fig|6666666.353979.peg.2718
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	Autoinducer 2 (AI-2) ABC transport system, fused AI2 transporter subunits and ATP-binding component	fig|6666666.353979.peg.2719
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	LsrR, transcriptional repressor of lsr operon	fig|6666666.353979.peg.2720
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	Autoinducer 2 (AI-2) aldolase LsrF (EC 4.2.1.-)	fig|6666666.353979.peg.2715
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	S-ribosylhomocysteine lyase (EC 4.4.1.21)	fig|6666666.353979.peg.3866
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	Autoinducer 2 (AI-2) modifying protein LsrG	fig|6666666.353979.peg.2714
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	Autoinducer 2 (AI-2) ABC transport system, membrane channel protein LsrD	fig|6666666.353979.peg.2717
Regulation and Cell signaling	Quorum sensing and biofilm formation	Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	Autoinducer 2 (AI-2) ABC transport system, periplasmic AI-2 binding protein LsrB	fig|6666666.353979.peg.2716
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	Excinuclease ABC subunit C	fig|6666666.353979.peg.1014
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	fig|6666666.353979.peg.1015
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	BarA sensory histidine kinase (= VarS = GacS)	fig|6666666.353979.peg.3955
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-)	fig|6666666.353979.peg.3954
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	fig|6666666.353979.peg.3953
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	BarA-associated response regulator UvrY (= GacA = SirA)	fig|6666666.353979.peg.1013
Regulation and Cell signaling	Regulation of virulence	A conserved operon linked to TyrR and possibly involved in virulence	Membrane protein YcjF	fig|6666666.353979.peg.1335
Regulation and Cell signaling	Regulation of virulence	A conserved operon linked to TyrR and possibly involved in virulence	Conserved protein YcjX with nucleoside triphosphate hydrolase domain	fig|6666666.353979.peg.1334
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	LrgA-associated membrane protein LrgB	fig|6666666.353979.peg.3395
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	Autolysis histidine kinase LytS	fig|6666666.353979.peg.3379, fig|6666666.353979.peg.3555
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	fig|6666666.353979.peg.4020
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	LysR family regulatory protein CidR	fig|6666666.353979.peg.347
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	Antiholin-like protein LrgA	fig|6666666.353979.peg.3394
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	CidA-associated membrane protein CidB	fig|6666666.353979.peg.349
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	Cytidine deaminase (EC 3.5.4.5)	fig|6666666.353979.peg.3397
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	tRNA-dihydrouridine synthase C (EC 1.-.-.-)	fig|6666666.353979.peg.3393
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein hydrolase regulation and cell death	Holin-like protein CidA	fig|6666666.353979.peg.348
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-antitoxin replicon stabilization systems	RelB/StbD replicon stabilization protein (antitoxin to RelE/StbE)	fig|6666666.353979.peg.584, fig|6666666.353979.peg.4535
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-antitoxin replicon stabilization systems	CcdA protein (antitoxin to CcdB)	fig|6666666.353979.peg.267
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-antitoxin replicon stabilization systems	HigA protein (antitoxin to HigB)	fig|6666666.353979.peg.3832
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Tryptophan synthase alpha chain (EC 4.2.1.20)	fig|6666666.353979.peg.1292
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	fig|6666666.353979.peg.1295
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Tryptophan synthase beta chain (EC 4.2.1.20)	fig|6666666.353979.peg.1293
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Monoamine oxidase (1.4.3.4)	fig|6666666.353979.peg.1690
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	fig|6666666.353979.peg.1294
DNA Metabolism	DNA repair	Uracil-DNA glycosylase	Uracil-DNA glycosylase, family 1	fig|6666666.353979.peg.3731
DNA Metabolism	DNA repair	Uracil-DNA glycosylase	G:T/U mismatch-specific uracil/thymine DNA-glycosylase	fig|6666666.353979.peg.2704
DNA Metabolism	DNA repair	DNA repair, bacterial MutL-MutS system	DNA mismatch repair protein MutS	fig|6666666.353979.peg.3918
DNA Metabolism	DNA repair	DNA repair, bacterial MutL-MutS system	DNA mismatch repair protein MutL	fig|6666666.353979.peg.513
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit C	fig|6666666.353979.peg.1014
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease cho (excinuclease ABC alternative C subunit)	fig|6666666.353979.peg.2010
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit A	fig|6666666.353979.peg.337
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit B	fig|6666666.353979.peg.2840
DNA Metabolism	DNA repair	DNA repair, bacterial photolyase	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	fig|6666666.353979.peg.2905
DNA Metabolism	DNA repair	DNA repair, bacterial DinG and relatives	DinG family ATP-dependent helicase YoaA	fig|6666666.353979.peg.1124
DNA Metabolism	DNA repair	DNA repair, bacterial DinG and relatives	ATP-dependent helicase DinG/Rad3	fig|6666666.353979.peg.2821
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Putative phosphatase YieH	fig|6666666.353979.peg.33
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Phosphoglycolate phosphatase (EC 3.1.3.18)	fig|6666666.353979.peg.4197
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Putative phosphatase YqaB	fig|6666666.353979.peg.3869
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Putative phosphatase YfbT	fig|6666666.353979.peg.3495
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	2-deoxyglucose-6-phosphate hydrolase YniC	fig|6666666.353979.peg.1997
DNA Metabolism	DNA repair	RecA and RecX	RecA protein	fig|6666666.353979.peg.3873
DNA Metabolism	DNA repair	RecA and RecX	Regulatory protein RecX	fig|6666666.353979.peg.3872
DNA Metabolism	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein	DNA mismatch repair protein MutS	fig|6666666.353979.peg.3918
DNA Metabolism	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein	RecA protein	fig|6666666.353979.peg.3873
DNA Metabolism	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein	Protein Implicated in DNA repair function with RecA and MutS	fig|6666666.353979.peg.3874
DNA Metabolism	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein	Regulatory protein RecX	fig|6666666.353979.peg.3872
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA mismatch repair endonuclease MutH	fig|6666666.353979.peg.2485
DNA Metabolism	DNA repair	DNA repair, bacterial	Exonuclease SbcD	fig|6666666.353979.peg.3195
DNA Metabolism	DNA repair	DNA repair, bacterial	ADA regulatory protein	fig|6666666.353979.peg.3448
DNA Metabolism	DNA repair	DNA repair, bacterial	SOS-response repressor and protease LexA (EC 3.4.21.88)	fig|6666666.353979.peg.323
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RadC	fig|6666666.353979.peg.127, fig|6666666.353979.peg.475
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA-cytosine methyltransferase (EC 2.1.1.37)	fig|6666666.353979.peg.403, fig|6666666.353979.peg.966
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA polymerase IV (EC 2.7.7.7)	fig|6666666.353979.peg.3249
DNA Metabolism	DNA repair	DNA repair, bacterial	Very-short-patch mismatch repair endonuclease (G-T specific)	fig|6666666.353979.peg.967
DNA Metabolism	DNA repair	DNA repair, bacterial	Exonuclease SbcC	fig|6666666.353979.peg.3196
DNA Metabolism	DNA repair	DNA repair, bacterial	Endonuclease V (EC 3.1.21.7)	fig|6666666.353979.peg.254
DNA Metabolism	DNA repair	DNA repair, bacterial	Single-stranded DNA-binding protein	fig|6666666.353979.peg.338
DNA Metabolism	DNA repair	DNA repair, bacterial	Alkylated DNA repair protein AlkB	fig|6666666.353979.peg.3447
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	fig|6666666.353979.peg.3165
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RadA	fig|6666666.353979.peg.722
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	fig|6666666.353979.peg.3665
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RecN	fig|6666666.353979.peg.3764
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA-damage-inducible protein I	fig|6666666.353979.peg.2145
DNA Metabolism	DNA repair	DNA repair, bacterial	A/G-specific adenine glycosylase (EC 3.2.2.-)	fig|6666666.353979.peg.2572, fig|6666666.353979.peg.3338
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA recombination protein RmuC	fig|6666666.353979.peg.4315
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA recombination-dependent growth factor C	fig|6666666.353979.peg.3198
DNA Metabolism	DNA repair	DNA repair, bacterial	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	fig|6666666.353979.peg.1778, fig|6666666.353979.peg.3448
DNA Metabolism	DNA repair	DNA repair, bacterial	G:T/U mismatch-specific uracil/thymine DNA-glycosylase	fig|6666666.353979.peg.2704
DNA Metabolism	DNA repair	DNA repair, bacterial	Endonuclease IV (EC 3.1.21.2)	fig|6666666.353979.peg.3414
DNA Metabolism	DNA repair	DNA repair, bacterial	RecA protein	fig|6666666.353979.peg.3873
DNA Metabolism	DNA repair	DNA repair, bacterial	Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	fig|6666666.353979.peg.4199, fig|6666666.353979.peg.4650
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease III (EC 3.1.11.2)	fig|6666666.353979.peg.2018
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	SOS-response repressor and protease LexA (EC 3.4.21.88)	fig|6666666.353979.peg.323
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	RecA protein	fig|6666666.353979.peg.3873
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	Error-prone repair protein UmuD	fig|6666666.353979.peg.1769, fig|6666666.353979.peg.4511, fig|6666666.353979.peg.4751
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	Error-prone, lesion bypass DNA polymerase V (UmuC)	fig|6666666.353979.peg.1768, fig|6666666.353979.peg.4510, fig|6666666.353979.peg.4750
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	ATP-dependent DNA helicase RecQ	fig|6666666.353979.peg.623, fig|6666666.353979.peg.4324
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	fig|6666666.353979.peg.2521
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Single-stranded DNA-binding protein	fig|6666666.353979.peg.338
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Recombination protein RecR	fig|6666666.353979.peg.3103
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	RecA protein	fig|6666666.353979.peg.3873
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	DNA recombination and repair protein RecO	fig|6666666.353979.peg.3718
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	DNA recombination and repair protein RecF	fig|6666666.353979.peg.46
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	fig|6666666.353979.peg.2476
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	fig|6666666.353979.peg.2478
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Protease III precursor (EC 3.4.24.55)	fig|6666666.353979.peg.2477
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	fig|6666666.353979.peg.2475
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	DNA helicase IV	fig|6666666.353979.peg.2342
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	ATP-dependent DNA helicase Rep	fig|6666666.353979.peg.4357
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	ATP-dependent DNA helicase UvrD/PcrA	fig|6666666.353979.peg.420, fig|6666666.353979.peg.4329
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA polymerase II (EC 2.7.7.7)	fig|6666666.353979.peg.777
DNA Metabolism	DNA repair	DNA Repair Base Excision	Uracil-DNA glycosylase, family 1	fig|6666666.353979.peg.3731
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	fig|6666666.353979.peg.3342
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	fig|6666666.353979.peg.221
DNA Metabolism	DNA repair	DNA Repair Base Excision	Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	fig|6666666.353979.peg.130
DNA Metabolism	DNA repair	DNA Repair Base Excision	Endonuclease VIII	fig|6666666.353979.peg.2900
DNA Metabolism	DNA repair	DNA Repair Base Excision	Endonuclease III (EC 4.2.99.18)	fig|6666666.353979.peg.1881
DNA Metabolism	DNA repair	DNA Repair Base Excision	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	fig|6666666.353979.peg.2521
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA ligase (EC 6.5.1.2)	fig|6666666.353979.peg.3577
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA polymerase I (EC 2.7.7.7)	fig|6666666.353979.peg.3968, fig|6666666.353979.peg.4455
DNA Metabolism	DNA repair	DNA Repair Base Excision	Exodeoxyribonuclease I (EC 3.1.11.1)	fig|6666666.353979.peg.3287
DNA Metabolism	DNA Metabolism - no subcategory	Type I Restriction-Modification	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	fig|6666666.353979.peg.471, fig|6666666.353979.peg.3993
DNA Metabolism	DNA Metabolism - no subcategory	Type I Restriction-Modification	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	fig|6666666.353979.peg.472
DNA Metabolism	DNA Metabolism - no subcategory	Type I Restriction-Modification	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	fig|6666666.353979.peg.470
DNA Metabolism	DNA Metabolism - no subcategory	Restriction-Modification System	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	fig|6666666.353979.peg.471, fig|6666666.353979.peg.3993
DNA Metabolism	DNA Metabolism - no subcategory	Restriction-Modification System	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	fig|6666666.353979.peg.472
DNA Metabolism	DNA Metabolism - no subcategory	Restriction-Modification System	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	fig|6666666.353979.peg.470
DNA Metabolism	DNA Metabolism - no subcategory	Restriction-Modification System	Putative DNA-binding protein in cluster with Type I restriction-modification system	fig|6666666.353979.peg.105
DNA Metabolism	DNA Metabolism - no subcategory	YcfH	Putative deoxyribonuclease YcfH	fig|6666666.353979.peg.2106
DNA Metabolism	DNA Metabolism - no subcategory	YcfH	Deoxyribonuclease TatD	fig|6666666.353979.peg.4308
DNA Metabolism	DNA Metabolism - no subcategory	YcfH	Putative deoxyribonuclease YjjV	fig|6666666.353979.peg.712
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	DNA-binding protein HU-alpha	fig|6666666.353979.peg.256
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Integration host factor beta subunit	fig|6666666.353979.peg.2387
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Chromosome partition protein MukB	fig|6666666.353979.peg.2374
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	DNA-binding protein Fis	fig|6666666.353979.peg.4108
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Chromosome partition protein MukF	fig|6666666.353979.peg.2376
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	DNA-binding protein HU-beta	fig|6666666.353979.peg.3147
